2001,40041
2001,44408
2007,43430
2012,44421
2012,46316
2012,46322
2015,32312
2015,39028
2070,41128
2071,40041
2071,43430
2108,41146
2108,43422
2108,44113
2108,44116
2108,44402
2108,45108
2108,45325
2130,45343
2180,40026
2180,43416
2223,45325
2223,45360
2223,47652
2280,44706
2325,40026
2325,40041
2325,41107
2325,42806
2325,43430
2330,44903
2340,47415
2360,41108
2360,46316
2440,43112
2440,45108
2452,44710
2452,45366
2540,45110
2540,45338
2551,41128
2566,49425
2567,45358
2567,47412
2567,47414
2567,49425
2601,45340
2604,45334
2604,45358
2608,31013
2608,33713
2608,39008
2608,42803
2608,42818
2623,49425
2625,47402
2626,49425
2633,44137
2633,45338
2684,41613
2684,41918
2684,43413
2684,44703
2684,45358
2684,46708
2684,49423
2684,49425
2708,40041
2708,41128
2708,43416
2708,43430
2708,44408
2708,46314
2980,43430
2980,44137
2980,44710
2980,45338
2980,45358
2980,46327
2980,47652
2990,44710
2990,45110
2990,45340
2990,45358
5105,43416
5105,44125
5548,43416
5631,41915
5631,41918
5631,43428
5631,44422
5631,46313
5631,47412
5634,41613
5634,44118
5634,44703
5634,45358
5634,47403
5634,49423
5634,49425
5635,41915
5635,43425
5635,43428
5635,44422
5635,46313
5635,47412
5641,41915
5641,43428
5641,44422
5641,46313
5641,47412
5650,41915
5650,43425
5650,43428
5650,44422
5650,47412
5660,41915
5660,41921
5660,43428
5660,44422
5660,45334
5660,46313
5670,41915
5670,42818
5670,43428
5670,44422
5670,46313
5691,41915
5691,42208
5691,42818
5691,43428
5691,44422
5691,46313
5691,47415
5691,52712
5694,41915
5694,44422
5694,47412
8110,44425
8130,44710
8131,40038
8131,41146
8131,43418
8143,31013
8210,49502
8310,43428
8310,44135
8310,45110
8310,45116
8310,47106
8310,49504
8460,41107
8770,45360
8770,47652
8790,49425
8940,49502
8970,49428
A220,43416
A220,43425
A220,43430
A220,44118
A220,44405
A220,44408
A220,44411
A220,45331
A220,45360
A220,46006
A220,46313
A220,47603
A220,49423
A350,42206
A350,44113
A350,44116
A350,44118
A350,44405
A350,44408
A350,44421
A350,44703
A350,45110
A350,45331
A350,45334
A350,46006
A350,46012
A350,46313
A350,46316
A350,46318
A350,46322
B005,40041
B005,46012
B040,45353
B040,45358
B050,45353
B050,45358
B080,45353
B080,45358
B083,45333
B111,39017
B111,39023
B111,39026
B112,40032
B112,40041
B112,43422
B112,43425
B112,45358
B140,45353
B140,45358
B140,46327
B180,40047
B180,46706
B200,45353
B240,45340
B240,45353
B300,45108
B300,45353
B310,40026
B310,40038
B310,44703
B310,44710
B310,46313
B310,46316
B310,46318
B310,46503
B310,46508
B310,46512
B310,46706
B310,49425
B320,45353
B770,46503
B770,46508
B770,46512
C017,43430
C040,45338
C051,43430
C051,44137
C051,45360
C057,45340
D010,45340
D010,47810
D014,45340
D140,41128
D155,32315
D781,40038
D781,41107
D781,41132
D781,43418
D781,44425
D820,45337
D820,46506
E011,45360
E222,45112
E222,45353
E223,45360
E242,45338
E281,45108
E286,45108
E314,33023
E314,40038
E314,46503
F060,45362
F080,47448
F124,45358
F124,47415
F124,47448
F164,33023
J010,44422
J091,44422
K010,44137
RW31,44706
RW31,45343
RZ40,46318
S001,37706
T835,41918
T835,42818
T835,43112
T835,43425
T835,43428
T835,44122
T835,44408
T835,44416
T835,44706
T835,46711
T835,46722
Y303,41150
Y303,44125
